sku_id,channel,train_samples,mape,rmse
SKU-0001,total,1827,56.9043452065256,153.58781840844986
SKU-0001,hospital,1827,56.17338061982328,58.982379012937876
SKU-0001,chain,1827,56.57459571494988,55.140696113256084
SKU-0001,independent,1827,56.28299709125937,39.22627587892962
SKU-0012,total,1827,29.553037482853718,122.05383810878804
SKU-0012,hospital,1827,29.635070468970564,47.991882531264295
SKU-0012,chain,1827,29.621285401771818,40.35759548269072
SKU-0012,independent,1827,29.566055139442476,33.710700736937184
SKU-0038,total,1827,31.578681083373745,62.56710451760099
SKU-0038,hospital,1827,31.850721709712808,21.823064961205283
SKU-0038,chain,1827,31.45018560653391,27.0971925250901
SKU-0038,independent,1827,31.607422232659133,13.556362256682254
SKU-0075,total,1827,44.44803335400371,155.5538005156719
SKU-0075,hospital,1827,44.3944500045408,64.64970367249353
SKU-0075,chain,1827,44.17260135153361,49.86638057637822
SKU-0075,independent,1827,44.0870716215162,41.55287256305172
SKU-0103,total,1827,31.06121539423826,68.24783213343895
SKU-0103,hospital,1827,30.90385925969671,20.55261697641596
SKU-0103,chain,1827,30.984088897693297,32.537477903894974
SKU-0103,independent,1827,31.01743563975062,15.182506368887188
SKU-0107,total,1827,33.1811634616333,61.30548706063289
SKU-0107,hospital,1827,33.05035566223408,21.30555683134021
SKU-0107,chain,1827,33.033946678563574,26.141384108846164
SKU-0107,independent,1827,33.18581125994254,13.912441324950793
SKU-0117,total,1827,30.706556567151384,167.23506415969507
SKU-0117,hospital,1827,30.65964946953738,74.32056526956765
SKU-0117,chain,1827,30.701517845182487,47.81727580930035
SKU-0117,independent,1827,30.674402808696843,45.30078508890124
SKU-0122,total,1827,36.2153730025843,58.95436497126082
SKU-0122,hospital,1827,36.38371173700674,15.55452511132055
SKU-0122,chain,1827,36.400212310289426,29.10030426951824
SKU-0122,independent,1827,36.155072009481714,14.4270053037442
SKU-0129,total,1827,27.147077458977297,64.91936268286697
SKU-0129,hospital,1827,27.12578360955401,19.45262528199096
SKU-0129,chain,1827,27.028717236527868,28.991791599382804
SKU-0129,independent,1827,27.166108869894494,16.402784488273504
SKU-0133,total,1827,35.76631608527394,128.29935150503758
SKU-0133,hospital,1827,35.69001051735216,44.21673686095971
SKU-0133,chain,1827,35.6362487745535,52.32980514831518
SKU-0133,independent,1827,35.46611931414201,31.252104628598243
SKU-0143,total,1827,39.542380685138525,169.10123485883932
SKU-0143,hospital,1827,39.5805063080384,49.824881741153455
SKU-0143,chain,1827,39.93677085168384,67.07774071493728
SKU-0143,independent,1827,39.77318147897016,52.265076290919616
SKU-0153,total,1827,48.434879127694295,287.56401178811336
SKU-0153,hospital,1827,48.32205255666062,90.88084288505416
SKU-0153,chain,1827,48.30165238745593,102.7988034384699
SKU-0153,independent,1827,48.362154093252876,93.09932463252277
SKU-0177,total,1827,30.21931186590961,80.67424819073261
SKU-0177,hospital,1827,30.149287101144996,24.58601181733107
SKU-0177,chain,1827,30.207379891724916,34.53741453053366
SKU-0177,independent,1827,30.323214501407097,21.521616023720682
SKU-0213,total,1827,69.07101620820751,348.261601202788
SKU-0213,hospital,1827,69.62794114827442,132.18824956653123
SKU-0213,chain,1827,69.09455168698962,147.36160567404204
SKU-0213,independent,1827,69.01753387304294,68.93868990347056
SKU-0228,total,1827,44.679149284963216,49.25588925374445
SKU-0228,hospital,1827,43.444554586266165,20.210823807524395
SKU-0228,chain,1827,44.12607859482307,15.1916761950346
SKU-0228,independent,1827,45.87313287021383,13.88999332085167
SKU-0232,total,1827,34.46667590792715,160.13995895879742
SKU-0232,hospital,1827,34.50844829637356,51.51158366726642
SKU-0232,chain,1827,34.63800769028338,63.378129449193565
SKU-0232,independent,1827,34.767707732443846,45.16803777720679
SKU-0241,total,1827,46.242260499726164,44.491403184533404
SKU-0241,hospital,1827,46.21127745030787,17.546323208343196
SKU-0241,chain,1827,46.08575314032826,13.539264952665281
SKU-0241,independent,1827,45.823155246965406,13.25991377921579
SKU-0242,total,1827,56.40435941088416,107.82866198408242
SKU-0242,hospital,1827,55.97241021227428,32.37083155959971
SKU-0242,chain,1827,55.826748503577186,49.207468574660794
SKU-0242,independent,1827,56.53708577113967,26.37908690400163
SKU-0248,total,1827,40.11319813245198,84.48414696073253
SKU-0248,hospital,1827,39.530439999210145,25.763134716110297
SKU-0248,chain,1827,39.94890488298312,32.78986392030959
SKU-0248,independent,1827,40.20448795170137,25.76847723188669
SKU-0249,total,1827,49.02569569855134,216.27902550843828
SKU-0249,hospital,1827,49.43561931812561,87.56990509102084
SKU-0249,chain,1827,49.20844660284279,68.47150283021475
SKU-0249,independent,1827,49.845898626328456,62.12355345675941
SKU-0255,total,1827,61.637404841414046,264.49133335219284
SKU-0255,hospital,1827,61.7030643354703,80.06200681641292
SKU-0255,chain,1827,62.324144523738234,95.1749604213209
SKU-0255,independent,1827,62.12644869608045,89.34797985582475
SKU-0257,total,1827,39.49597612644217,42.978978684048855
SKU-0257,hospital,1827,39.477768059386555,19.145621909949988
SKU-0257,chain,1827,39.71055882152229,12.035121456970419
SKU-0257,independent,1827,39.557856309351564,11.807154110178553
SKU-0262,total,1827,37.01800610966919,103.40489241132452
SKU-0262,hospital,1827,37.246334944065985,26.344391181519786
SKU-0262,chain,1827,37.32993202083253,42.86113461919228
SKU-0262,independent,1827,37.370819740993085,33.94506078978139
SKU-0264,total,1827,99.60923320994523,166.91442367208577
SKU-0264,hospital,1827,102.44035513378262,43.447367592847485
SKU-0264,chain,1827,102.89804501275259,66.39657244734411
SKU-0264,independent,1827,101.47687347834892,58.90112987236127
SKU-0274,total,1827,38.66029371580671,178.14648914537585
SKU-0274,hospital,1827,38.66934378535629,65.46551486084881
SKU-0274,chain,1827,38.72195715245323,63.56137315051834
SKU-0274,independent,1827,38.71724086741899,49.236679180186435
SKU-0277,total,1827,29.286242904421577,100.19851837689336
SKU-0277,hospital,1827,29.532369139158654,28.5906944848197
SKU-0277,chain,1827,29.478659518262685,47.209894377413136
SKU-0277,independent,1827,29.377012317167416,24.3711367206058
SKU-0298,total,1827,36.79359620994079,157.15200725965897
SKU-0298,hospital,1827,36.9292749349552,57.88189792691889
SKU-0298,chain,1827,36.83812093005556,52.847591976221295
SKU-0298,independent,1827,36.91662890303298,46.134279109125956
SKU-0308,total,1827,47.93622639409252,54.21635277821096
SKU-0308,hospital,1827,47.90772499013424,18.569878428342363
SKU-0308,chain,1827,47.77793697863642,19.108006280166734
SKU-0308,independent,1827,48.160443760086274,16.56411053096608
SKU-0330,total,1827,42.99206930872215,74.97337904141581
SKU-0330,hospital,1827,43.20392709379125,28.733519611677803
SKU-0330,chain,1827,43.070069815680704,23.59695064224464
SKU-0330,independent,1827,43.01291380727196,22.678933954600637
SKU-0340,total,1827,67.1662630595985,233.57956851725214
SKU-0340,hospital,1827,68.43017271739159,61.913344904943706
SKU-0340,chain,1827,67.8606674722551,100.85343078844183
SKU-0340,independent,1827,68.01836185779104,72.04770173302236
SKU-0345,total,1827,59.34137730594521,145.8589198566919
SKU-0345,hospital,1827,59.23037077190039,40.77836558028785
SKU-0345,chain,1827,59.755415749841376,54.60951715877205
SKU-0345,independent,1827,59.913617253931875,50.400699654094865
SKU-0351,total,1827,43.75877997667397,137.11501494144852
SKU-0351,hospital,1827,43.61623237771223,40.38507368124642
SKU-0351,chain,1827,43.7543685220277,65.28131247047541
SKU-0351,independent,1827,43.87921131862604,31.414748217541344
SKU-0365,total,1827,26.9797505918461,48.18250783627248
SKU-0365,hospital,1827,26.870238968812686,12.439483682781457
SKU-0365,chain,1827,27.038700114126353,22.03808444542582
SKU-0365,independent,1827,27.007261855371077,13.711642535016953
SKU-0371,total,1827,27.747187752599185,112.66539734747538
SKU-0371,hospital,1827,27.71583499933245,28.160437713692517
SKU-0371,chain,1827,27.89006772568744,48.88102233466333
SKU-0371,independent,1827,27.74915775792799,35.559735550110084
SKU-0372,total,1827,47.09756847955452,91.90005873715505
SKU-0372,hospital,1827,47.30141245285036,24.113823034491347
SKU-0372,chain,1827,47.15823500248308,36.16397844027183
SKU-0372,independent,1827,47.024588633396576,31.526242741547847
SKU-0390,total,1827,29.24296571268914,99.3602908248128
SKU-0390,hospital,1827,29.25629829394678,26.505334300295157
SKU-0390,chain,1827,29.30061544434358,50.10419834455204
SKU-0390,independent,1827,29.262536937714817,22.721361165621744
SKU-0400,total,1827,38.50814918021846,87.40273748876481
SKU-0400,hospital,1827,38.37937558758683,30.21667089721108
SKU-0400,chain,1827,38.561636624550474,29.079249843449745
SKU-0400,independent,1827,38.556050857767296,27.98481509063412
SKU-0402,total,1827,65.12029710387247,99.69267055321069
SKU-0402,hospital,1827,64.63176998142112,41.94544643501193
SKU-0402,chain,1827,65.26370692325854,35.83238521023781
SKU-0402,independent,1827,64.91368350643498,21.77594183979236
SKU-0425,total,1827,55.6352152486263,143.13645985196277
SKU-0425,hospital,1827,55.897452154938854,63.42704400110691
SKU-0425,chain,1827,55.37959573273837,44.568468609604835
SKU-0425,independent,1827,55.740205891448156,35.142083517496026
SKU-0440,total,1827,43.557682772556525,58.567472503291974
SKU-0440,hospital,1827,43.344233382733485,24.00892949522747
SKU-0440,chain,1827,43.44925440102379,18.329789091361345
SKU-0440,independent,1827,43.60344974290166,16.22543673700101
SKU-0444,total,1827,27.95881516840599,185.98275338967574
SKU-0444,hospital,1827,28.03420232402718,79.33910825358177
SKU-0444,chain,1827,28.126966565212435,62.20111414528165
SKU-0444,independent,1827,28.0530359912135,43.954510933058856
SKU-0465,total,1827,57.396187153728775,177.717997752761
SKU-0465,hospital,1827,57.095770991174334,46.68376706294958
SKU-0465,chain,1827,57.48064362576092,67.36539182131146
SKU-0465,independent,1827,57.93217991607506,63.95550364961469
SKU-0470,total,1827,47.5575630758203,256.53449614560895
SKU-0470,hospital,1827,47.45926579240907,65.55548498239794
SKU-0470,chain,1827,47.46822446030781,132.83981482738892
SKU-0470,independent,1827,47.73304040907826,58.29048840642319
SKU-0478,total,1827,32.70185067098886,103.10215362712859
SKU-0478,hospital,1827,32.61811418029324,37.81319589886604
SKU-0478,chain,1827,32.65580637039308,37.0762173944103
SKU-0478,independent,1827,32.80412612793529,28.272675622325178
SKU-0487,total,1827,34.02026898748437,142.57972388190217
SKU-0487,hospital,1827,33.97643742758099,57.316706563202786
SKU-0487,chain,1827,33.943978616016416,59.5353275375798
SKU-0487,independent,1827,34.17507840876991,25.736576107457605
SKU-0496,total,1827,30.14406274550846,51.822953786642614
SKU-0496,hospital,1827,30.413801639037885,13.301253569083883
SKU-0496,chain,1827,30.07907013470954,26.615641272758253
SKU-0496,independent,1827,30.035878899859753,11.923293310146436
